,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,NBM,KNN,DT,SVM,SVM_LINER
0,0,84.31,96.08,19.61,15.2,16.18,14.71,17.65,16.67
1,1,86.76,97.55,47.55,34.31,22.55,38.24,43.63,45.59
2,2,87.75,98.04,77.94,44.61,25.0,67.65,75.98,73.04
3,3,90.69,98.53,91.18,49.02,26.47,89.71,88.24,91.67
4,4,91.67,99.02,92.16,52.94,27.94,89.71,96.08,96.57
5,5,92.65,99.02,93.63,59.31,28.43,90.2,97.06,96.57
6,6,94.12,99.02,93.63,60.78,29.41,90.2,97.55,96.57
7,7,94.61,99.02,94.12,64.22,29.9,90.2,97.55,96.57
8,8,94.61,99.02,94.12,67.16,31.86,90.2,97.55,97.06
9,9,95.1,99.02,95.59,69.61,33.33,90.2,97.55,97.06
10,10,95.1,99.02,95.59,69.61,34.31,90.2,97.55,97.06
11,11,96.08,99.02,95.59,69.61,35.78,90.2,98.04,97.06
12,12,96.08,99.02,95.59,69.61,35.78,90.2,98.04,97.06
13,13,96.08,99.02,95.59,70.59,35.78,90.2,98.04,97.55
14,14,96.08,99.02,95.59,72.06,37.75,90.2,98.04,97.55
15,15,96.08,99.02,95.59,74.02,37.75,90.2,98.53,97.55
16,16,96.08,99.02,95.59,75.49,37.75,90.2,98.53,98.04
17,17,,99.02,95.59,76.47,38.24,90.2,98.53,98.04
18,18,,99.02,95.59,77.45,38.24,90.2,98.53,98.04
19,19,,99.02,95.59,79.41,39.71,90.2,98.53,98.04
20,20,,99.02,95.59,81.37,40.2,90.2,98.53,98.04
21,21,,99.02,95.59,83.82,40.69,90.2,98.53,98.04
22,22,,99.02,95.59,84.8,41.18,90.69,98.53,98.04
23,23,,99.02,95.59,85.29,42.65,91.18,98.53,98.04
24,24,,99.02,95.59,85.78,43.63,91.18,98.53,99.02
25,25,,99.02,95.59,86.76,44.61,91.18,98.53,99.02
26,26,,99.02,95.59,86.76,45.59,91.18,98.53,99.02
27,27,,99.02,95.59,87.25,46.57,91.18,99.02,99.02
28,28,,99.02,95.59,89.22,49.02,91.18,99.02,99.02
29,29,,99.02,95.59,90.2,50.0,91.18,99.02,99.02
30,30,,99.02,95.59,90.69,50.49,91.67,99.02,99.02
31,31,,99.02,95.59,90.69,52.45,92.16,99.02,99.02
32,32,,99.02,95.59,91.18,53.43,92.16,99.02,99.02
33,33,,99.02,95.59,91.18,53.92,92.16,99.02,99.02
34,34,,99.02,96.57,91.18,55.39,92.16,99.02,99.02
35,35,,99.51,96.57,92.16,56.37,92.16,99.02,99.02
36,36,,99.51,96.57,92.65,56.86,92.65,99.02,99.02
37,37,,99.51,96.57,93.14,56.86,92.65,99.02,99.02
38,38,,99.51,96.57,93.63,57.35,92.65,99.02,99.02
39,39,,99.51,97.06,94.12,58.33,92.65,99.02,99.02
40,40,,99.51,97.06,94.61,58.82,92.65,99.02,99.02
41,41,,99.51,97.06,94.61,59.31,93.14,99.02,99.02
42,42,,99.51,97.06,94.61,60.78,93.14,99.02,99.02
43,43,,99.51,97.06,96.08,61.76,93.63,99.02,99.02
44,44,,99.51,97.06,96.57,62.25,93.63,99.02,99.02
45,45,,99.51,97.55,96.57,62.25,93.63,99.02,99.02
46,46,,99.51,97.55,96.57,62.75,93.63,99.02,99.02
47,47,,99.51,97.55,96.57,64.22,93.63,99.02,99.02
48,48,,99.51,97.55,96.57,64.71,93.63,99.02,99.02
49,49,,99.51,97.55,96.57,65.69,93.63,99.02,99.02
50,50,,99.51,97.55,96.57,67.65,94.12,99.02,99.02
51,51,,99.51,97.55,96.57,68.14,94.12,99.02,99.02
52,52,,99.51,98.04,96.57,68.14,94.12,99.02,99.02
53,53,,99.51,98.04,96.57,68.63,94.12,99.02,99.51
54,54,,99.51,98.04,96.57,69.61,94.61,99.02,99.51
55,55,,99.51,98.04,96.57,71.57,94.61,99.02,99.51
56,56,,99.51,98.04,96.57,72.55,94.61,99.02,99.51
57,57,,99.51,98.04,97.06,73.04,94.61,99.02,99.51
58,58,,99.51,98.04,97.06,74.02,94.61,99.02,99.51
59,59,,99.51,98.04,97.55,74.51,94.61,99.02,99.51
60,60,,99.51,98.04,97.55,75.49,94.61,99.02,99.51
61,61,,99.51,98.04,97.55,75.98,94.61,99.02,99.51
62,62,,99.51,98.04,97.55,75.98,94.61,99.02,99.51
63,63,,99.51,98.04,97.55,76.47,94.61,99.02,99.51
64,64,,99.51,98.04,98.04,76.47,94.61,99.02,99.51
65,65,,99.51,98.04,98.04,76.47,94.61,99.02,99.51
66,66,,99.51,98.04,98.04,78.43,95.1,99.02,99.51
67,67,,100.0,98.04,98.04,79.9,95.59,99.02,99.51
68,68,,100.0,98.53,98.53,81.86,96.08,99.02,99.51
69,69,,100.0,98.53,98.53,82.35,96.08,99.02,99.51
70,70,,100.0,99.02,98.53,83.33,96.08,99.02,99.51
71,71,,100.0,99.02,98.53,84.31,96.57,99.02,99.51
72,72,,100.0,99.02,98.53,84.8,97.06,99.51,99.51
73,73,,100.0,99.02,98.53,85.29,97.06,99.51,99.51
74,74,,100.0,99.02,98.53,86.27,97.06,99.51,100.0
75,75,,100.0,99.02,99.02,86.27,97.06,99.51,100.0
76,76,,100.0,99.02,99.02,86.27,97.06,99.51,100.0
77,77,,100.0,99.02,99.02,87.25,97.55,99.51,100.0
78,78,,100.0,99.02,99.02,87.25,97.55,99.51,100.0
79,79,,100.0,99.02,99.02,87.25,97.55,99.51,100.0
80,80,,100.0,99.02,99.02,87.75,97.55,99.51,100.0
81,81,,100.0,99.02,99.02,89.71,98.04,99.51,100.0
82,82,,,99.02,99.02,90.2,98.04,99.51,100.0
83,83,,,99.51,99.02,90.69,98.04,99.51,100.0
84,84,,,99.51,99.02,90.69,98.53,99.51,100.0
85,85,,,99.51,99.02,91.18,98.53,99.51,100.0
86,86,,,99.51,99.02,91.18,98.53,99.51,100.0
87,87,,,99.51,100.0,92.16,98.53,99.51,100.0
88,88,,,99.51,100.0,94.12,99.51,99.51,100.0
89,89,,,99.51,100.0,95.1,99.51,99.51,100.0
90,90,,,99.51,100.0,95.1,99.51,99.51,100.0
91,91,,,100.0,100.0,95.59,99.51,99.51,100.0
92,92,,,100.0,100.0,96.57,99.51,99.51,100.0
93,93,,,100.0,100.0,97.06,99.51,99.51,100.0
94,94,,,100.0,100.0,97.55,99.51,99.51,100.0
95,95,,,100.0,100.0,97.55,99.51,99.51,100.0
96,96,,,100.0,100.0,98.04,99.51,99.51,100.0
97,97,,,100.0,100.0,98.04,99.51,99.51,100.0
98,98,,,100.0,100.0,98.53,100.0,100.0,100.0
99,99,,,100.0,100.0,99.02,100.0,100.0,100.0
100,100,,,,,,,,100.0
